Drug_Name,Reason,Description
A CN Gel(Topical) 20gmA CN Soap 75gm,Acne,Mild moderate acne (spots)
A Ret 0.05% Gel 20gmA Ret 0.1% Gel 20gmA Ret 0.025% Gel 20gm,Acne,A RET 0.025% is a prescription medicine that is reduce fine wrinkles
ACGEL CL NANO Gel 15gm,Acne,"It is acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple"
ACGEL NANO Gel 15gm,Acne,"It is acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple"
Acleen 1% Lotion 25ml,Acne,the most severe form of acne (nodular acne)
Aclene 0.10% Gel 15gm,Acne,the most severe form of acne (nodular acne)
Acnay Gel 10gm,Acne,the most severe form of acne (nodular acne)
Acne Aid Bar 50gmAcne Aid Bar 100gm,Acne,acne vulgaris
Acne UV Gel 60gm,Acne,acne vulgaris
Acne UV SPF 30 Gel 30gm,Acne,mild moderate acne(spots)
Acnecure Gel 20gm,Acne,treatment of dry scaly skin disorders of the scalp
Acnedap Gel 15gm,Acne,Mild moderate acne (spots)
Acnedap Plus Gel 15gm,Acne,A RET 0.025% is a prescription medicine that is reduce fine wrinkles
Acnehit Gel 15gm,Acne,"It is acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple"
Acnelak Soap 75gm,Acne,"It is acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple"
Acnelak Clz Cream 15gm,Acne,the most severe form of acne (nodular acne)
Acnelak Z Lotion 15gm,Acne,the most severe form of acne (nodular acne)
Acnemoist Cream 60gm,Acne,the most severe form of acne (nodular acne)
Acnerex Soap 75gm,Acne,acne vulgaris
Acneril 1% Gel 10gmAcneril Tablet 10Acneril 0.10% Cream 20gm,Acne,acne vulgaris
Acnesol 1% Solution 25mlAcnesol Gel 20gmAcnesol Solution 45ml,Acne,mild moderate acne(spots)
